"","SD","Median","relabundance","Prevalance"
"Schwartzia",6.2364031838307e-06,0,0.000250262337396196,0
"Sedimentibacter",3.51619079307974e-06,0,8.33812834507799e-05,0
"Sedimenticola",1.30199224664985e-06,0,1.53441257776403e-05,0
"Sediminibacillus",3.90597673994955e-06,0,4.60323773329209e-05,0
"Segniliparus",1.98911139824173e-06,0,3.27975094618549e-05,0
"Seinonella",1.37005270898951e-06,0,2.28797502333704e-05,0
"Selenomonas",1.12531006126769e-05,0,0.000766309156243527,0
"Serinibacter",3.13682947800079e-06,0,6.32731911718474e-05,0
"Serinicoccus",3.28853224873058e-06,0,3.87557242204674e-05,0
"Serpens",1.4380830823839e-05,0,0.000520712075299636,0
"Serratia",6.95992870804088e-05,0,0.00320616924907592,0
"Shewanella",5.22809529051718e-05,0.00111786304618528,0.0032058415759483,0
"Shimwellia",0.000159506952632469,0,0.00204729696071047,0.0138888888888889
"Siccibacter",5.29022912607448e-05,0,0.00245641275993206,0
"Silanimonas",1.62173015271443e-06,0,1.91122731373179e-05,0
"Simiduia",8.50998310131601e-06,0,0.000293857531280625,0
"Simkania",1.26976964646933e-06,0,1.49643787927218e-05,0
"Singulisphaera",1.49604735255802e-06,0,1.76310871328326e-05,0
"Sinibacillus",2.5825939119476e-05,0,0.000877668759410062,0
"Sinobacterium",1.98633014298903e-06,0,3.29833153484328e-05,0
"Sinomonas",1.35589293007705e-05,0,0.000641882183297804,0
"Skermanella",2.4794890677137e-06,0,5.94358926887931e-05,0
"Skermania",1.88474356215129e-06,0,2.22119158932478e-05,0
"Smithella",1.65296057614988e-06,0,1.948032720716e-05,0
"Sodalis",6.11614918895363e-06,0,0.00020129189839584,0
"Solibacillus",1.21202375891148e-06,0,1.42838369814253e-05,0
"Solimonas",6.40555655237995e-06,0,0.000234215719118008,0
"Solirubrobacter",1.25544496972215e-06,0,1.47955608582846e-05,0
"Spartobacteria_genera_incertae_sedis",1.25038333613884e-06,0,1.47359089344405e-05,0
"Spelaeicoccus",6.42338095294549e-06,0,0.000111629627261787,0
"Sphaerochaeta",1.42708011670531e-06,0,1.68183004636469e-05,0
"Sphingobacterium",4.01965837441876e-06,0,0.000127975246548692,0
"Sphingobium",0.000261327395379669,0,0.00348331355104576,0.0138888888888889
"Sphingomonas",0.000485658080803452,0,0.00617583566168512,0.0138888888888889
"Sphingosinicella",1.91223132295643e-06,0,3.20334457391121e-05,0
"Spiribacter",6.36839444192986e-06,0,0.000200820877808662,0
"Spirochaeta",1.94034341632277e-06,0,3.22295158620305e-05,0
"Spiroplasma",1.23539587945715e-05,0,0.000609482872908989,0
"Spongiibacter",1.9135571388622e-06,0,3.14753597108342e-05,0
"Sporacetigenium",1.59284113907334e-06,0,1.87718128465277e-05,0
"Sporanaerobacter",1.5192287290392e-06,0,1.79042822746173e-05,0
"Sporichthya",1.13000038543103e-06,0,1.33171822546948e-05,0
"Sporobacter",5.23257397861052e-06,0,0.000109529628282618,0
"Sporohalobacter",2.77666943704183e-06,0,4.5095248594527e-05,0
"Sporolactobacillaceae_incertae_sedis",8.04923640154181e-06,0,0.000370272896155952,0
"Sporolactobacillus",4.23731718918168e-05,0.00167850671877662,0.00309387478715043,0
"Sporolituus",2.65495178248088e-06,0,4.40698746102276e-05,0
"Sporomusa",5.05732690273589e-06,0,0.000172197490870594,0
"Sporosalibacterium",2.20219352800806e-06,0,4.54638632851164e-05,0
"Sporosarcina",5.010954470971e-05,0,0.00143362281838385,0
"Stackebrandtia",7.52495585914129e-06,0,0.000351024277346118,0
"Staphylococcus",0.409069849511661,60.2542782206573,50.854104398741,1
"Stenotrophomonas",0.00112629987025054,0,0.0212501995398394,0.0416666666666667
"Streptacidiphilus",6.20399599192738e-06,0,0.000121543698278246,0
"Streptococcus",0.0146085073515618,0,0.174174495907141,0.0138888888888889
"Streptomyces",3.0344291022632e-05,0.00042834624083339,0.00150457279745166,0
"Streptosporangium",1.30006632413123e-05,0,0.00034827996846117,0
"Subdivision3_genera_incertae_sedis",3.40688683013906e-06,0,8.99066990253656e-05,0
"Subdoligranulum",1.17110988748865e-06,0,1.38016623826307e-05,0
"Succinatimonas",1.60315499779299e-06,0,1.88933628372087e-05,0
"Succinimonas",1.80745719987662e-06,0,3.03342991815522e-05,0
"Succinivibrio",1.33642611925242e-05,0,0.000462377800922219,0
"Sulfitobacter",1.10489794822871e-05,0,0.000195986848931651,0
"Sulfobacillus",2.53615877745459e-06,0,5.22311281880539e-05,0
"Sulfuriferula",8.38261098388275e-06,0,0.000190122298275814,0
"Sulfurimonas",1.56365521895949e-06,0,1.84278534793999e-05,0
"Sulfurivirga",3.89191671998144e-06,0,4.58666784085363e-05,0
"Sutterella",3.81822752758796e-06,0,9.88912876416859e-05,0
"Symbiobacterium",1.36045910232214e-06,0,1.60331642796492e-05,0
"Syntrophaceticus",2.17504695814179e-06,0,3.64175834800423e-05,0
"Syntrophobacter",1.56365521895949e-06,0,1.84278534793999e-05,0
"Syntrophomonas",4.44479505408284e-06,0,0.000149373964787663,0
"Syntrophorhabdus",2.3554209177311e-06,0,2.77589017246051e-05,0
"Syntrophothermus",1.41489837318571e-06,0,1.66747372394906e-05,0
"Syntrophus",4.48270085723108e-06,0,0.000109770922297521,0
"Tahibacter",1.4206462485867e-06,0,1.67424766007147e-05,0
"Tatumella",0.000306312258189401,0,0.00557797032077647,0.0138888888888889
"Taylorella",2.43408575908788e-06,0,2.86859757706774e-05,0
"Telluria",1.90320700047378e-05,0,0.000745459793533432,0
"Temperatibacter",4.20993179475039e-06,0,6.92740381433433e-05,0
"Tenuibacillus",1.90280505590617e-06,0,3.19204620250998e-05,0
"Tepidamorphus",3.17640909378896e-06,0,3.74343401673465e-05,0
"Tepidibacillus",8.73791811787077e-06,0,0.0004639832341193,0
"Tepidibacter",1.13000038543103e-06,0,1.33171822546948e-05,0
"Tepidimicrobium",1.07040059119153e-05,0,0.000156826791306737,0
"Tepidimonas",2.10399604016492e-06,0,2.47958311265044e-05,0
"Tepidisphaera",5.39512590174684e-06,0,6.35821685080063e-05,0
"Terasakiella",1.19557211607395e-06,0,1.40899525112241e-05,0
"Teredinibacter",1.97424001828965e-06,0,4.06375064982408e-05,0
"Terribacillus",1.27422320977283e-05,0,0.000655124535265465,0
"Terrisporobacter",4.35710234175178e-06,0,8.00664779800979e-05,0
"Tessaracoccus",0.000805013534789594,0,0.0180952084020029,0.0416666666666667
"Tetragenococcus",8.40450634461724e-06,0,0.000391601870203371,0
"Tetrasphaera",5.74737783880382e-05,0,0.00166491559428675,0
"Texcoconibacillus",5.35751794003636e-06,0,0.000243062369446655,0
"Thalassobacillus",9.61145509437033e-06,0,0.000302876938662312,0
"Thalassobaculum",2.14567367949966e-06,0,4.39286326223611e-05,0
"Thalassolituus",7.34695038784796e-06,0,0.00017339225269661,0
"Thermaerobacter",4.76705105985682e-06,0,9.25189429703501e-05,0
"Thermanaerovibrio",3.89191671998144e-06,0,4.58666784085363e-05,0
"Thermicanus",5.92545642113534e-06,0,0.000152026675379413,0
"Thermithiobacillus",1.07569625401849e-06,0,1.26772019285574e-05,0
"Thermoactinomyces",1.97906338990677e-06,0,3.32136627839153e-05,0
"Thermoanaerobacter",9.43009366834736e-06,0,0.000459822136993362,0
"Thermobacillus",4.5876122410424e-06,0,0.000114211539371001,0
"Thermobifida",8.7379334779947e-07,0,1.0297753359745e-05,0
"Thermochromatium",8.7379334779947e-07,0,1.0297753359745e-05,0
"Thermodesulfobium",3.28444762531909e-06,0,8.47685744549832e-05,0
"Thermodesulfovibrio",3.14604015870526e-06,0,7.41048075261537e-05,0
"Thermohalobacter",1.24655713447914e-05,0,0.000605743437439657,0
"Thermolithobacter",3.16712584055742e-06,0,7.19361179874128e-05,0
"Thermolongibacillus",3.64468950051107e-06,0,0.000100949612122948,0
"Thermomarinilinea",7.50527138500603e-06,0,0.000328061010301012,0
"Thermomicrobium",1.73759345798487e-06,0,2.91610479520099e-05,0
"Thermomonas",4.47307426118342e-06,0,9.83513997866089e-05,0
"Thermomonospora",4.31355659692136e-06,0,9.75671131053685e-05,0
"Thermopolyspora",1.00962177196352e-06,0,1.18985066898164e-05,0
"Thermorudis",2.99586606445289e-06,0,4.99708176178528e-05,0
"Thermosediminibacter",1.38386268594495e-06,0,1.63089781577117e-05,0
"Thermosyntropha",3.17366453080765e-06,0,5.31486031203167e-05,0
"Thermus",4.56100733061929e-06,0,0.000104969615711532,0
"Thioalkalimicrobium",7.29483299649903e-06,0,0.000277615428309162,0
"Thioalkalispira",7.73274562274212e-06,0,0.000192442221694424,0
"Thioalkalivibrio",6.59394077344436e-06,0,0.000228829703692243,0
"Thiobacillus",4.15843601275453e-06,0,6.81495009281279e-05,0
"Thiocapsa",3.6854037192631e-06,0,9.63679459260379e-05,0
"Thiococcus",1.60315499779299e-06,0,1.88933628372087e-05,0
"Thiocystis",6.24148897714433e-06,0,0.000168196107733428,0
"Thiodictyon",3.52267613802893e-06,0,4.15151364187383e-05,0
"Thiofaba",7.9032407621551e-06,0,0.00010920651455216,0
"Thioflavicoccus",1.16475553906127e-06,0,1.37267756682469e-05,0
"Thiogranum",1.16654257515647e-06,0,1.37478360905993e-05,0
"Thiohalobacter",5.31269152253254e-06,0,0.000121816787905969,0
"Thiohalocapsa",2.59882663272401e-05,0,0.00115501970053978,0
"Thiohalophilus",1.53912929603968e-06,0,1.81388127058755e-05,0
"Thiohalorhabdus",5.16910541225628e-06,0,0.000241649696025807,0
"Thiolamprovum",8.62174011851006e-05,0.00271422427743589,0.00648874464451196,0
"Thiomicrospira",1.91034048786924e-06,0,3.12833379399616e-05,0
"Thiomonas",9.65252130001733e-06,0,0.000290441542720764,0
"Thiophaeococcus",4.7001180346322e-06,0,0.000168789338262148,0
"Thioprofundum",1.43441005596103e-06,0,1.69046846262036e-05,0
"Thiopseudomonas",4.19661615399191e-06,0,0.000104878708081608,0
"Thioreductor",1.17110988748865e-06,0,1.38016623826307e-05,0
"Thiorhodococcus",8.71010628835199e-06,0,0.000281686531061554,0
"Thiorhodospira",4.2185454135987e-06,0,6.5705114187552e-05,0
"Thiothrix",7.41594289274081e-06,0,0.000256499532074026,0
"Thiovirga",4.79365584079523e-06,0,0.000108911672554034,0
"Thorsellia",6.47531376698357e-06,0,0.000207415092147596,0
"Tissierella",1.07569625401849e-06,0,1.26772019285574e-05,0
"Tistrella",1.10682137724017e-05,0,0.00046602180539188,0
"Tolumonas",1.09873458850944e-05,0,0.00041667405419875,0
"Tomitella",1.61589654514106e-06,0,2.71188446373255e-05,0
"Trabulsiella",0.0109069683639911,0,0.14020914777915,0.0416666666666667
"Treponema",3.88474392881964e-06,0,0.000112605244049274,0
"Trichococcus",6.02359970624252e-06,0,0.000184352845965138,0
"Tropheryma",4.53069347740583e-06,0,9.5498959901258e-05,0
"Trueperella",3.4073607740372e-05,0,0.000434341451280877,0
"Tsukamurella",1.62173015271443e-06,0,1.91122731373179e-05,0
"Tuberibacillus",8.68818052701171e-06,0,0.000262254572092069,0
"Tumebacillus",1.49443841521554e-05,0.000905580050509422,0.00112007620703583,0
"Turicella",3.76948712430258e-06,0,4.44238317864955e-05,0
"Turicibacter",1.80672052271419e-05,0.00106118232181359,0.00141715310521028,0
"Umboniibacter",4.05111407570748e-06,0,0.000104694417850691,0
"Ureibacillus",4.37543658288329e-05,0.00241394752599875,0.00340440103766336,0
"Uruburuella",5.01614060982358e-06,0,0.00016474862512858,0
"Vagococcus",1.02024221093415e-05,0,0.000342317965166084,0
"Vampirovibrio",1.38386268594495e-06,0,1.63089781577117e-05,0
"Varibaculum",6.80910230113699e-06,0,0.000238373789439411,0
"Veillonella",0.000995665412518009,0,0.0135801235961566,0.0138888888888889
"Verrucosispora",3.61833605030195e-06,0,8.48379569544695e-05,0
"Vibrio",2.47660660015354e-05,0,0.00105806798226361,0
"Virgibacillus",0.000140893810039788,0.00275534317375669,0.00829570161962358,0
"Viridibacillus",2.36780441060761e-06,0,6.3739708725412e-05,0
"Vitreoscilla",1.5436079092516e-06,0,2.58991791283203e-05,0
"Vogesella",9.51548751793899e-06,0,0.000184327074454611,0
"Volucribacter",1.13000038543103e-06,0,1.33171822546948e-05,0
"Vulcanibacillus",5.69035338968653e-06,0,0.000173248899950481,0
"Vulgatibacter",7.19502281129473e-06,0,0.000297051544687053,0
"Weissella",5.20510037228066e-06,0,0.000209546971151871,0
"Wohlfahrtiimonas",1.56365521895949e-06,0,1.84278534793999e-05,0
"Xanthobacter",1.0648781541484e-06,0,1.25497093989292e-05,0
"Xanthomonas",0.000204684172910134,0,0.0029550515223221,0.0138888888888889
"Xenorhabdus",6.00115277382763e-05,0.00119042484876357,0.00354022109734953,0
"Xylanimonas",1.27436936566273e-06,0,1.50185870032753e-05,0
"Xylella",6.997662333982e-06,0,8.2468241480206e-05,0
"Yersinia",1.02507762115967e-05,0,0.00026846436099779,0
"Yonghaparkia",1.26536602600238e-06,0,1.49124816278226e-05,0
"Youngiibacter",1.26536602600238e-06,0,1.49124816278226e-05,0
"Youngimonas",1.08612546953862e-06,0,1.28001114121697e-05,0
"Zhihengliuella",7.51466857772999e-06,0,0.000209492260863524,0
"Zhongshania",2.88751727832993e-06,0,3.40297174716737e-05,0
"Zimmermannella",0.00186915608899595,0,0.0248668059836375,0.0277777777777778
"Zobellella",6.3381918588517e-06,0,0.000223356847143612,0
"Zymobacter",1.24882972583325e-05,0,0.000572944586644096,0
