"","SD","Median","relabundance","Prevalance"
"Mesoplasma",3.58426551395316e-06,0,0.000133018019493251,0
"Mesorhizobium",5.62361773410029e-06,0,0.000208849287374814,0
"Methylarcula",2.14484796944626e-05,0,0.000862752681400055,0
"Methylobacillus",7.24848995849635e-06,0,0.000294499550208036,0
"Methylobacter",6.09740291805431e-06,0,0.000155456663814531,0
"Methylobacterium",3.50736640375923e-06,0,6.69084671746797e-05,0
"Methylocaldum",1.26536602600238e-06,0,1.49124816278226e-05,0
"Methylogaea",4.70541766470966e-06,0,9.01133194378213e-05,0
"Methylohalobius",8.12275395218258e-06,0,0.00012041933258775,0
"Methylomarinovum",4.39187410140551e-06,0,9.95564428530984e-05,0
"Methylomicrobium",4.36941540264139e-06,0,8.40695990016279e-05,0
"Methylomonas",2.96571650697747e-06,0,5.79094557070377e-05,0
"Methyloparacoccus",3.03520413045034e-06,0,5.056468788706e-05,0
"Methylophaga",1.59942142731677e-05,0,0.00085329746992596,0
"Methyloprofundus",1.60293694673374e-06,0,1.88907930808314e-05,0
"Methylosarcina",1.30199224664985e-06,0,1.53441257776403e-05,0
"Methylothermus",9.84425182073431e-06,0,0.000382278108097699,0
"Methylovulum",3.45483818447884e-06,0,0.00011034962146046,0
"Microaerobacter",5.99614256693284e-06,0,0.000155028972198822,0
"Microbacterium",0.000143983936902234,0,0.00369645530977195,0
"Microbulbifer",1.06672683089917e-05,0,0.000573994511369163,0
"Microcella",1.6117495924201e-06,0,1.89946511062485e-05,0
"Micrococcus",0.0035595030144893,0.00722853249962649,0.108667626055551,0.125
"Microgenomates_genera_incertae_sedis",1.23157686154158e-05,0,0.00033217470325592,0
"Microlunatus",4.31349908709262e-06,0,0.000130850646792986,0
"Micromonospora",2.00970940332157e-05,0,0.000687342601524393,0
"Micropruina",1.90127077302122e-06,0,3.14365724431982e-05,0
"Microvirga",2.94316885897131e-06,0,5.75507829789377e-05,0
"Millisia",3.76948712430258e-06,0,4.44238317864955e-05,0
"Mitsuokella",1.98633014298903e-06,0,3.29833153484328e-05,0
"Mobilicoccus",2.93673386986688e-06,0,3.46097405653847e-05,0
"Mobiluncus",4.1603731470658e-06,0,7.18828538870484e-05,0
"Modestobacter",3.41578556313949e-06,0,9.21251276619886e-05,0
"Moellerella",2.84084754585039e-06,0,4.68711748619229e-05,0
"Mogibacterium",1.06402693317713e-05,0,0.000632093839370153,0
"Moorella",1.30858461245567e-06,0,1.54218175537296e-05,0
"Moraxella",0.00467878872011577,0.00587375390388017,0.156963979010518,0.152777777777778
"Morganella",1.37563949011178e-05,0,0.000461555114784511,0
"Moritella",8.51003545832497e-06,0,0.000188942812830116,0
"Mucilaginibacter",2.50168047463981e-06,0,4.99454348530941e-05,0
"Mucispirillum",2.1466117228786e-06,0,2.52980617636999e-05,0
"Mumia",1.88474356215129e-06,0,2.22119158932478e-05,0
"Murdochiella",1.13000038543103e-06,0,1.33171822546948e-05,0
"Muriicola",2.3554209177311e-06,0,2.77589017246051e-05,0
"Mycetocola",3.76724169258966e-06,0,6.09676401137151e-05,0
"Mycobacterium",4.14229877092826e-05,0.00113462033308724,0.00259047358349095,0
"Mycoplasma",1.84593593319414e-05,0.00100951095875005,0.00141977484719626,0
"Naasia",5.21249142076104e-06,0,8.73818148272746e-05,0
"Nannocystis",3.19850715565421e-06,0,8.38782508006122e-05,0
"Natranaerobius",1.7494155834955e-06,0,2.06170603700515e-05,0
"Natribacillus",2.35311643068023e-06,0,2.77317430842579e-05,0
"Natroniella",6.01996688428939e-06,0,0.000218822708571415,0
"Natronincola",1.6117495924201e-06,0,1.89946511062485e-05,0
"Natronobacillus",1.0648781541484e-06,0,1.25497093989292e-05,0
"Natronocella",2.88598434428726e-06,0,5.79930869835393e-05,0
"Negativicoccus",2.82929496474321e-05,0,0.000425778302659722,0
"Neisseria",3.24346030542887e-06,0,3.82245462746357e-05,0
"Neoasaia",1.39995640633102e-06,0,1.64986444713702e-05,0
"Neochlamydia",3.67854558791572e-06,0,5.97555415863031e-05,0
"Neorickettsia",1.17110988748865e-06,0,1.38016623826307e-05,0
"Neptuniibacter",5.08235911382565e-06,0,8.57975058558642e-05,0
"Neptunomonas",5.40625298767854e-06,0,0.000110015375484811,0
"Nesterenkonia",1.40302424438978e-05,0,0.000463895954287378,0
"Nevskia",2.74994297164561e-06,0,7.43879052375028e-05,0
"Nguyenibacter",2.29629849624211e-06,0,3.82004740947874e-05,0
"Niabella",2.52228995835463e-06,0,3.93068203987971e-05,0
"Nisaea",1.60293694673374e-06,0,1.88907930808314e-05,0
"Nitrincola",6.07617855704014e-06,0,0.000195319302199264,0
"Nitrococcus",1.17091342413077e-05,0,0.000242052498305907,0
"Nitrosococcus",3.12787836017576e-06,0,5.0903357391321e-05,0
"Nitrosomonas",1.56940224633178e-05,0.000832801722418532,0.0010261984994241,0
"Nitrosospira",3.30879248030967e-06,0,7.60864229084852e-05,0
"Nitrospira",8.7785321514284e-06,0,0.000426979637793917,0
"Nocardia",1.18340177305959e-05,0,0.000280565347311422,0
"Nocardioides",5.64223029459224e-06,0,0.000150803541169317,0
"Nocardiopsis",6.14603999102586e-06,0,0.000221670538165665,0
"Nonomuraea",7.14898051635822e-06,0,0.000309671505069073,0
"Nosocomiicoccus",3.06422801311441e-05,0.00188711351586135,0.00252755441468457,0
"Novispirillum",1.30074843664581e-05,0,0.00039137466906275,0
"Novosphingobium",5.63726755789818e-06,0,0.000176981524764398,0
"Oceanicola",1.02897993746515e-06,0,1.21266448581086e-05,0
"Oceanimonas",4.08851408285275e-06,0,6.1288495962266e-05,0
"Oceanirhabdus",3.69068118973412e-06,0,9.78540555056873e-05,0
"Oceaniserpentilla",3.46073244375355e-06,0,7.07363274429409e-05,0
"Oceanisphaera",1.76724418617127e-05,0,0.000492225439557006,0
"Oceanobacillus",0.000661059329599544,0.00320261001905142,0.0172127407163832,0.0138888888888889
"Oceanococcus",1.60315499779299e-06,0,1.88933628372087e-05,0
"Oceanospirillum",2.28939329541578e-05,0,0.00113036650393041,0
"Ochrobactrum",1.43441005596103e-06,0,1.69046846262036e-05,0
"Oenococcus",1.87673094270589e-06,0,3.1463023264092e-05,0
"Oleibacter",4.12639316382456e-06,0,6.26849788721832e-05,0
"Oleispira",9.45213831480863e-06,0,0.000431366275131996,0
"Oligella",0.0292007133337448,0.00196419348396199,0.530985851611201,0.0416666666666667
"Oligoflexus",3.19395362960581e-06,0,6.4877836620829e-05,0
"Olsenella",4.7774962128288e-06,0,0.000121459122365781,0
"Orbus",1.53912929603968e-06,0,1.81388127058755e-05,0
"Orenia",3.1222209656165e-06,0,0.000100792752755329,0
"Oribacterium",3.05290081594068e-06,0,3.59787811540266e-05,0
"Orientia",1.35377737719613e-05,0,0.000475723005597574,0
"Ornatilinea",4.53459071619638e-06,0,0.000111360960714304,0
"Ornithinibacillus",5.74954476881869e-05,0.000404455481585142,0.00197429294897513,0
"Ornithinibacter",5.21249142076104e-06,0,8.73818148272746e-05,0
"Ornithinimicrobium",1.36051904614067e-05,0,0.000260697991680896,0
"Oscillibacter",6.07246648740992e-06,0,0.000184514722571088,0
"Oscillochloris",2.22632333800069e-06,0,4.53205523247416e-05,0
"Ottowia",1.43441005596103e-06,0,1.69046846262036e-05,0
"Oxalophagus",1.88546322827042e-06,0,3.90070348927821e-05,0
"Oxobacter",2.41984419655826e-06,0,4.05225547368899e-05,0
"Paenalcaligenes",5.20494789158374e-06,0,8.95473645038572e-05,0
"Paenibacillus",0.0445108062381778,0.017575666291531,0.833957562052403,0.0694444444444444
"Paenisporosarcina",6.43035908068672e-06,0,0.00015987931564394,0
"Pantoea",0.0827766065364645,0.00924616342061957,1.49068993957741,0.152777777777778
"Papillibacter",4.54335492542143e-06,0,9.56773441492177e-05,0
"Parabacteroides",3.89191671998144e-06,0,4.58666784085363e-05,0
"Paracoccus",0.00121063890611125,0,0.0233249650122737,0.0555555555555556
"Paraferrimonas",6.49733230657452e-06,0,0.000195142704847067,0
"Paraglaciecola",3.52267613802893e-06,0,4.15151364187383e-05,0
"Paraliobacillus",7.67567609806369e-06,0,0.000129599616310458,0
"Paramoritella",4.07677863197096e-06,0,6.08310572012581e-05,0
"Paraperlucidibaca",1.60293694673374e-06,0,1.88907930808314e-05,0
